id,user_id,action_type,resource,ts,metadata
1,743,click,/checkout,2026-04-04 03:46:55.676942,Chrome
2,215,click,/search,2026-01-02 03:29:10.719207,Firefox
3,570,checkout,/checkout,2025-11-17 18:55:36.651332,Chrome
4,195,view,/checkout,2026-03-31 23:10:29.723775,Firefox
5,410,view,/search,2026-01-21 23:21:00.976646,Mobile
6,882,checkout,/search,2026-01-17 16:06:29.683117,Firefox
7,207,purchase,/feed,2026-02-03 21:09:01.655392,Safari
8,122,add_to_cart,/profile,2025-11-25 18:56:14.511338,Safari
9,826,login,/feed,2025-12-20 05:05:00.477718,Mobile
10,22,logout,/home,2026-02-18 03:04:24.632822,Safari
11,189,checkout,/home,2026-02-10 18:27:54.457625,Firefox
12,168,login,/product/1,2025-11-03 20:50:45.466628,Firefox
13,471,view,/,2025-11-05 14:51:06.289491,Chrome
14,363,view,/product/1,2025-10-18 21:13:26.533522,Chrome
15,277,click,/profile,2025-11-18 06:46:47.374356,Safari
16,335,view,/home,2026-02-16 15:54:22.552842,Firefox
17,851,purchase,/product/2,2025-12-29 08:21:04.177211,Safari
18,889,purchase,/product/2,2026-03-11 09:05:17.260999,Safari
19,989,logout,/,2025-12-17 16:22:13.727756,Firefox
20,751,purchase,/checkout,2025-10-27 04:41:19.956544,Chrome
21,204,logout,/feed,2026-02-27 04:09:01.315864,Chrome
22,619,purchase,/search,2025-11-04 04:17:33.605553,Firefox
23,976,checkout,/checkout,2026-03-08 18:22:04.31373,Safari
24,995,add_to_cart,/product/1,2025-10-25 11:15:17.408144,Firefox
25,656,logout,/checkout,2026-01-20 22:01:35.554837,Firefox
26,611,click,/checkout,2026-04-13 18:22:22.194871,Mobile
27,163,click,/product/1,2025-12-21 19:04:04.47992,Mobile
28,875,purchase,/cart,2026-03-13 03:37:26.375025,Chrome
29,538,checkout,/cart,2025-12-15 09:37:38.377106,Firefox
30,683,add_to_cart,/checkout,2026-01-24 09:18:05.989827,Mobile
31,996,purchase,/product/2,2026-01-28 04:43:28.017908,Mobile
32,512,checkout,/search,2026-02-06 23:32:26.239089,Firefox
33,228,click,/cart,2025-10-31 07:30:26.086874,Safari
34,402,logout,/search,2026-01-30 18:15:01.682765,Mobile
35,899,logout,/feed,2026-01-06 04:40:04.659146,Mobile
36,173,search,/checkout,2025-10-21 17:07:52.160969,Firefox
37,327,click,/product/2,2025-11-24 21:08:57.909963,Safari
38,269,click,/search,2026-03-04 05:16:45.164929,Safari
39,969,search,/product/2,2026-01-19 21:32:52.691374,Firefox
40,833,add_to_cart,/home,2026-04-10 19:56:32.96367,Safari
41,231,search,/product/1,2026-03-19 12:50:31.596488,Firefox
42,79,view,/home,2025-12-22 09:01:21.784889,Chrome
43,430,add_to_cart,/checkout,2026-02-10 15:47:21.196092,Mobile
44,38,add_to_cart,/product/1,2026-02-22 00:18:10.121569,Mobile
45,818,click,/home,2026-01-29 19:54:58.86998,Safari
46,6,logout,/product/2,2026-03-23 04:51:54.933013,Mobile
47,62,purchase,/home,2025-12-21 19:01:09.384148,Chrome
48,527,purchase,/cart,2026-01-06 19:24:27.261276,Mobile
49,535,logout,/product/1,2026-01-26 09:24:25.652731,Safari
50,941,view,/checkout,2025-12-11 07:14:17.682569,Mobile
